# STN;HH;YYYYMMDD;T
260;7;20230114;68
260;8;20230114;65
260;9;20230114;71
260;10;20230114;78
260;11;20230114;85
260;12;20230114;95
260;13;20230114;98
260;14;20230114;105
260;15;20230114;108
260;16;20230114;110
260;17;20230114;113
260;18;20230114;114
260;19;20230114;109
260;20;20230114;77
260;21;20230114;78
260;22;20230114;82
260;23;20230114;78
260;24;20230114;78
260;1;20230115;75
260;2;20230115;74
260;3;20230115;71
260;4;20230115;66
260;5;20230115;68
260;6;20230115;65
260;7;20230115;60
260;8;20230115;60
260;9;20230115;67
260;10;20230115;69
260;11;20230115;76
260;12;20230115;71
260;13;20230115;63
260;14;20230115;69
260;15;20230115;69
260;16;20230115;66
260;17;20230115;63
260;18;20230115;58
260;19;20230115;52
260;20;20230115;47
260;21;20230115;43
260;22;20230115;48
260;23;20230115;50
260;24;20230115;47
260;1;20230116;45
260;2;20230116;38
260;3;20230116;35
260;4;20230116;31
260;5;20230116;31
260;6;20230116;37
260;7;20230116;42
260;8;20230116;38
260;9;20230116;42
260;10;20230116;47
260;11;20230116;44
260;12;20230116;49
260;13;20230116;51
260;14;20230116;52
260;15;20230116;53
260;16;20230116;51
260;17;20230116;39
260;18;20230116;34
260;19;20230116;37
260;20;20230116;36
260;21;20230116;36
260;22;20230116;33
260;23;20230116;40
260;24;20230116;35
260;1;20230117;18
260;2;20230117;16
260;3;20230117;15
260;4;20230117;11
260;5;20230117;6
260;6;20230117;8
260;7;20230117;8
260;8;20230117;11
260;9;20230117;12
260;10;20230117;21
260;11;20230117;25
260;12;20230117;38
260;13;20230117;46
260;14;20230117;45
260;15;20230117;42
260;16;20230117;23
260;17;20230117;4
260;18;20230117;-12
260;19;20230117;-3
260;20;20230117;6
260;21;20230117;6
260;22;20230117;-3
260;23;20230117;-2
260;24;20230117;-7
260;1;20230118;-12
260;2;20230118;-19
260;3;20230118;-33
260;4;20230118;-32
260;5;20230118;-11
260;6;20230118;-8
260;7;20230118;-3
260;8;20230118;1
260;9;20230118;12
260;10;20230118;24
260;11;20230118;34
260;12;20230118;39
260;13;20230118;48
260;14;20230118;44
260;15;20230118;39
260;16;20230118;37
260;17;20230118;39
260;18;20230118;36
260;19;20230118;35
260;20;20230118;34
260;21;20230118;31
260;22;20230118;13
260;23;20230118;25
260;24;20230118;32
260;1;20230119;30
260;2;20230119;35
260;3;20230119;32
260;4;20230119;21
260;5;20230119;25
260;6;20230119;27
260;7;20230119;28
260;8;20230119;24
260;9;20230119;36
260;10;20230119;51
260;11;20230119;58
260;12;20230119;60
260;13;20230119;57
260;14;20230119;52
260;15;20230119;52
260;16;20230119;38
260;17;20230119;24
260;18;20230119;-1
260;19;20230119;20
260;20;20230119;13
260;21;20230119;9
260;22;20230119;7
260;23;20230119;6
260;24;20230119;5
260;1;20230120;6
260;2;20230120;6
260;3;20230120;3
260;4;20230120;3
260;5;20230120;4
260;6;20230120;4
260;7;20230120;3
260;8;20230120;4
260;9;20230120;7
260;10;20230120;6
260;11;20230120;4
260;12;20230120;5
260;13;20230120;6
260;14;20230120;9
260;15;20230120;10
260;16;20230120;12
260;17;20230120;13
260;18;20230120;10
260;19;20230120;6
260;20;20230120;2
260;21;20230120;-1
260;22;20230120;-4
260;23;20230120;-7
260;24;20230120;-6
260;1;20230121;-11
260;2;20230121;-16
260;3;20230121;-20
260;4;20230121;-21
260;5;20230121;-32
260;6;20230121;-35
260;7;20230121;-26
260;8;20230121;-27
260;9;20230121;-24
260;10;20230121;-13
260;11;20230121;-10
260;12;20230121;-5
260;13;20230121;0
260;14;20230121;-1
260;15;20230121;-4
260;16;20230121;-8
260;17;20230121;-5
260;18;20230121;-4
260;19;20230121;-10
260;20;20230121;-14
260;21;20230121;-11
260;22;20230121;-12
260;23;20230121;-16
260;24;20230121;-22
260;1;20230122;-17
260;2;20230122;-16
260;3;20230122;-14
260;4;20230122;-13
260;5;20230122;-11
260;6;20230122;-5
260;7;20230122;-1
260;8;20230122;-1
260;9;20230122;1
260;10;20230122;5
260;11;20230122;5
260;12;20230122;8
260;13;20230122;11
260;14;20230122;12
260;15;20230122;11
260;16;20230122;11
260;17;20230122;11
260;18;20230122;12
260;19;20230122;13
260;20;20230122;14
260;21;20230122;13
260;22;20230122;14
260;23;20230122;14
260;24;20230122;14
260;1;20230123;13
260;2;20230123;13
260;3;20230123;12
260;4;20230123;13
260;5;20230123;14
260;6;20230123;14
260;7;20230123;15
260;8;20230123;16
260;9;20230123;18
260;10;20230123;25
260;11;20230123;31
260;12;20230123;37
260;13;20230123;39
260;14;20230123;40
260;15;20230123;40
260;16;20230123;35
260;17;20230123;28
260;18;20230123;29
260;19;20230123;31
260;20;20230123;29
260;21;20230123;32
260;22;20230123;33
260;23;20230123;31
260;24;20230123;31
260;1;20230124;30
260;2;20230124;29
260;3;20230124;28
260;4;20230124;26
260;5;20230124;24
260;6;20230124;21
260;7;20230124;19
260;8;20230124;18
260;9;20230124;17
260;10;20230124;18
260;11;20230124;19
260;12;20230124;19
260;13;20230124;20
260;14;20230124;20
260;15;20230124;18
260;16;20230124;16
260;17;20230124;15
260;18;20230124;13
260;19;20230124;11
260;20;20230124;9
260;21;20230124;9
260;22;20230124;6
260;23;20230124;4
260;24;20230124;3
260;1;20230125;0
260;2;20230125;-1
260;3;20230125;-1
260;4;20230125;-4
260;5;20230125;-5
260;6;20230125;-7
260;7;20230125;-7
260;8;20230125;-6
260;9;20230125;-10
260;10;20230125;-10
260;11;20230125;-11
260;12;20230125;-11
260;13;20230125;-10
260;14;20230125;-11
260;15;20230125;-11
260;16;20230125;-11
260;17;20230125;-9
260;18;20230125;-8
260;19;20230125;-6
260;20;20230125;-5
260;21;20230125;-6
260;22;20230125;-6
260;23;20230125;-5
260;24;20230125;-5
260;1;20230126;-5
260;2;20230126;-3
260;3;20230126;-3
260;4;20230126;-1
260;5;20230126;0
260;6;20230126;3
260;7;20230126;4
260;8;20230126;12
260;9;20230126;25
260;10;20230126;55
260;11;20230126;67
260;12;20230126;76
260;13;20230126;78
260;14;20230126;78
260;15;20230126;72
260;16;20230126;68
260;17;20230126;66
260;18;20230126;63
260;19;20230126;62
260;20;20230126;60
260;21;20230126;55
260;22;20230126;48
260;23;20230126;53
260;24;20230126;53
260;1;20230127;50
260;2;20230127;47
260;3;20230127;41
260;4;20230127;39
260;5;20230127;42
260;6;20230127;45
260;7;20230127;42
260;8;20230127;39
260;9;20230127;43
260;10;20230127;44
260;11;20230127;43
260;12;20230127;42
260;13;20230127;49
260;14;20230127;45
260;15;20230127;42
260;16;20230127;40
260;17;20230127;39
260;18;20230127;37
260;19;20230127;36
260;20;20230127;33
260;21;20230127;31
260;22;20230127;29
260;23;20230127;26
260;24;20230127;25
260;1;20230128;23
260;2;20230128;22
260;3;20230128;22
260;4;20230128;21
260;5;20230128;19
260;6;20230128;18
260;7;20230128;17
260;8;20230128;17
260;9;20230128;20
260;10;20230128;31
260;11;20230128;37
260;12;20230128;51
260;13;20230128;53
260;14;20230128;55
260;15;20230128;49
260;16;20230128;44
260;17;20230128;41
260;18;20230128;37
260;19;20230128;35
260;20;20230128;34
260;21;20230128;31
260;22;20230128;33
260;23;20230128;32
260;24;20230128;33
260;1;20230129;35
260;2;20230129;35
260;3;20230129;34
260;4;20230129;34
260;5;20230129;32
260;6;20230129;32
260;7;20230129;32
260;8;20230129;32
260;9;20230129;35
260;10;20230129;37
260;11;20230129;41
260;12;20230129;42
260;13;20230129;45
260;14;20230129;51
260;15;20230129;51
260;16;20230129;49
260;17;20230129;41
260;18;20230129;45
260;19;20230129;46
260;20;20230129;48
260;21;20230129;50
260;22;20230129;55
260;23;20230129;61
260;24;20230129;66
260;1;20230130;70
260;2;20230130;76
260;3;20230130;72
260;4;20230130;78
260;5;20230130;80
260;6;20230130;73
260;7;20230130;67
260;8;20230130;67
260;9;20230130;72
260;10;20230130;75
260;11;20230130;78
260;12;20230130;82
260;13;20230130;83
260;14;20230130;81
260;15;20230130;80
260;16;20230130;78
260;17;20230130;59
260;18;20230130;54
260;19;20230130;49
260;20;20230130;51
260;21;20230130;51
260;22;20230130;53
260;23;20230130;47
260;24;20230130;39
260;1;20230131;37
260;2;20230131;38
260;3;20230131;50
260;4;20230131;50
260;5;20230131;52
260;6;20230131;53
260;7;20230131;54
260;8;20230131;55
260;9;20230131;60
260;10;20230131;63
260;11;20230131;70
260;12;20230131;78
260;13;20230131;86
260;14;20230131;91
260;15;20230131;92
260;16;20230131;91
260;17;20230131;80
260;18;20230131;74
260;19;20230131;71
260;20;20230131;68
260;21;20230131;64
260;22;20230131;55
260;23;20230131;48
260;24;20230131;57
260;1;20230201;69
260;2;20230201;69
260;3;20230201;73
260;4;20230201;69
260;5;20230201;68
260;6;20230201;67
260;7;20230201;66
260;8;20230201;67
260;9;20230201;74
260;10;20230201;77
260;11;20230201;77
260;12;20230201;81
260;13;20230201;83
260;14;20230201;83
260;15;20230201;84
260;16;20230201;85
260;17;20230201;88
260;18;20230201;87
260;19;20230201;88
260;20;20230201;88
260;21;20230201;88
260;22;20230201;87
260;23;20230201;78
260;24;20230201;79
260;1;20230202;71
260;2;20230202;68
260;3;20230202;79
260;4;20230202;81
260;5;20230202;83
260;6;20230202;82
260;7;20230202;80
260;8;20230202;81
260;9;20230202;83
260;10;20230202;83
260;11;20230202;86
260;12;20230202;89
260;13;20230202;84
260;14;20230202;80
260;15;20230202;79
260;16;20230202;81
260;17;20230202;82
260;18;20230202;85
260;19;20230202;85
260;20;20230202;82
260;21;20230202;86
260;22;20230202;93
260;23;20230202;91
260;24;20230202;92
260;1;20230203;91
260;2;20230203;92
260;3;20230203;94
260;4;20230203;95
260;5;20230203;97
260;6;20230203;97
260;7;20230203;97
260;8;20230203;96
260;9;20230203;98
260;10;20230203;103
260;11;20230203;104
260;12;20230203;105
260;13;20230203;94
260;14;20230203;97
260;15;20230203;95
260;16;20230203;91
260;17;20230203;88
260;18;20230203;86
260;19;20230203;86
260;20;20230203;86
260;21;20230203;85
260;22;20230203;84
260;23;20230203;80
260;24;20230203;75
260;1;20230204;67
260;2;20230204;67
260;3;20230204;66
260;4;20230204;54
260;5;20230204;46
260;6;20230204;58
260;7;20230204;56
260;8;20230204;57
260;9;20230204;68
260;10;20230204;81
260;11;20230204;91
260;12;20230204;96
260;13;20230204;96
260;14;20230204;96
260;15;20230204;83
260;16;20230204;83
260;17;20230204;76
260;18;20230204;72
260;19;20230204;72
260;20;20230204;70
260;21;20230204;70
260;22;20230204;72
260;23;20230204;76
260;24;20230204;78
260;1;20230205;75
260;2;20230205;76
260;3;20230205;75
260;4;20230205;74
260;5;20230205;72
260;6;20230205;65
260;7;20230205;63
260;8;20230205;65
260;9;20230205;72
260;10;20230205;76
260;11;20230205;79
260;12;20230205;81
260;13;20230205;81
260;14;20230205;79
260;15;20230205;77
260;16;20230205;73
260;17;20230205;68
260;18;20230205;64
260;19;20230205;61
260;20;20230205;50
260;21;20230205;44
260;22;20230205;31
260;23;20230205;30
260;24;20230205;32
260;1;20230206;30
260;2;20230206;30
260;3;20230206;20
260;4;20230206;6
260;5;20230206;-1
260;6;20230206;-4
260;7;20230206;2
260;8;20230206;10
260;9;20230206;38
260;10;20230206;51
260;11;20230206;72
260;12;20230206;81
260;13;20230206;79
260;14;20230206;76
260;15;20230206;80
260;16;20230206;69
260;17;20230206;66
260;18;20230206;51
260;19;20230206;25
260;20;20230206;7
260;21;20230206;-3
260;22;20230206;-11
260;23;20230206;-15
260;24;20230206;-18
260;1;20230207;-21
260;2;20230207;-23
260;3;20230207;-21
260;4;20230207;-26
260;5;20230207;-35
260;6;20230207;-23
260;7;20230207;-28
260;8;20230207;-11
260;9;20230207;4
260;10;20230207;16
260;11;20230207;26
260;12;20230207;37
260;13;20230207;49
260;14;20230207;53
260;15;20230207;56
260;16;20230207;45
260;17;20230207;28
260;18;20230207;-1
260;19;20230207;-17
260;20;20230207;-22
260;21;20230207;-32
260;22;20230207;-36
260;23;20230207;-39
260;24;20230207;-44
260;1;20230208;-47
260;2;20230208;-48
260;3;20230208;-48
260;4;20230208;-48
260;5;20230208;-52
260;6;20230208;-52
260;7;20230208;-50
260;8;20230208;-20
260;9;20230208;0
260;10;20230208;16
260;11;20230208;30
260;12;20230208;44
260;13;20230208;56
260;14;20230208;62
260;15;20230208;66
260;16;20230208;62
260;17;20230208;37
260;18;20230208;7
260;19;20230208;27
260;20;20230208;20
260;21;20230208;-1
260;22;20230208;-23
260;23;20230208;-19
260;24;20230208;-2
260;1;20230209;-12
260;2;20230209;-8
260;3;20230209;-11
260;4;20230209;-9
260;5;20230209;-12
260;6;20230209;-3
260;7;20230209;-5
260;8;20230209;-1
260;9;20230209;7
260;10;20230209;20
260;11;20230209;30
260;12;20230209;41
260;13;20230209;50
260;14;20230209;51
260;15;20230209;51
260;16;20230209;49
260;17;20230209;49
260;18;20230209;46
260;19;20230209;37
260;20;20230209;24
260;21;20230209;21
260;22;20230209;-1
260;23;20230209;-1
260;24;20230209;7
260;1;20230210;-5
260;2;20230210;-23
260;3;20230210;-26
260;4;20230210;-29
260;5;20230210;-16
260;6;20230210;-18
260;7;20230210;-16
260;8;20230210;2
260;9;20230210;18
260;10;20230210;35
260;11;20230210;53
260;12;20230210;66
260;13;20230210;74
260;14;20230210;75
260;15;20230210;75
260;16;20230210;69
260;17;20230210;69
260;18;20230210;68
260;19;20230210;69
260;20;20230210;69
260;21;20230210;67
260;22;20230210;66
260;23;20230210;67
260;24;20230210;66
260;1;20230211;65
260;2;20230211;62
260;3;20230211;56
260;4;20230211;55
260;5;20230211;60
260;6;20230211;61
260;7;20230211;60
260;8;20230211;65
260;9;20230211;70
260;10;20230211;75
260;11;20230211;89
260;12;20230211;100
260;13;20230211;101
260;14;20230211;101
260;15;20230211;99
260;16;20230211;93
260;17;20230211;86
260;18;20230211;83
260;19;20230211;81
260;20;20230211;80
260;21;20230211;80
260;22;20230211;76
260;23;20230211;76
260;24;20230211;74
260;1;20230212;71
260;2;20230212;65
260;3;20230212;62
260;4;20230212;62
260;5;20230212;65
260;6;20230212;69
260;7;20230212;65
260;8;20230212;66
260;9;20230212;70
260;10;20230212;75
260;11;20230212;77
260;12;20230212;79
260;13;20230212;82
260;14;20230212;82
260;15;20230212;83
260;16;20230212;80
260;17;20230212;78
260;18;20230212;72
260;19;20230212;69
260;20;20230212;69
260;21;20230212;71
260;22;20230212;66
260;23;20230212;67
260;24;20230212;68
260;1;20230213;68
260;2;20230213;67
260;3;20230213;67
260;4;20230213;66
260;5;20230213;64
260;6;20230213;66
260;7;20230213;66
260;8;20230213;65
260;9;20230213;77
260;10;20230213;89
260;11;20230213;94
260;12;20230213;102
260;13;20230213;107
260;14;20230213;114
260;15;20230213;114
260;16;20230213;108
260;17;20230213;82
260;18;20230213;54
260;19;20230213;53
260;20;20230213;36
260;21;20230213;22
260;22;20230213;11
260;23;20230213;6
260;24;20230213;1
260;1;20230214;-3
260;2;20230214;-7
260;3;20230214;-5
260;4;20230214;-5
260;5;20230214;10
260;6;20230214;11
260;7;20230214;8
260;8;20230214;13
260;9;20230214;34
260;10;20230214;62
260;11;20230214;89
260;12;20230214;104
260;13;20230214;110
260;14;20230214;117
260;15;20230214;119
260;16;20230214;110
260;17;20230214;76
260;18;20230214;48
260;19;20230214;36
260;20;20230214;20
260;21;20230214;10
260;22;20230214;5
260;23;20230214;3
260;24;20230214;-1
260;1;20230215;-6
260;2;20230215;-2
260;3;20230215;-7
260;4;20230215;-1
260;5;20230215;7
260;6;20230215;11
260;7;20230215;7
260;8;20230215;13
260;9;20230215;31
260;10;20230215;49
260;11;20230215;79
260;12;20230215;93
260;13;20230215;108
260;14;20230215;109
260;15;20230215;109
260;16;20230215;102
260;17;20230215;92
260;18;20230215;84
260;19;20230215;58
260;20;20230215;74
260;21;20230215;75
260;22;20230215;73
260;23;20230215;61
260;24;20230215;60
260;1;20230216;59
260;2;20230216;52
260;3;20230216;63
260;4;20230216;65
260;5;20230216;56
260;6;20230216;62
260;7;20230216;66
260;8;20230216;69
260;9;20230216;73
260;10;20230216;69
260;11;20230216;78
260;12;20230216;88
260;13;20230216;98
260;14;20230216;108
260;15;20230216;110
260;16;20230216;93
260;17;20230216;93
260;18;20230216;93
260;19;20230216;95
260;20;20230216;97
260;21;20230216;99
260;22;20230216;101
260;23;20230216;100
260;24;20230216;100
260;1;20230217;96
260;2;20230217;89
260;3;20230217;91
260;4;20230217;94
260;5;20230217;97
260;6;20230217;97
260;7;20230217;100
260;8;20230217;107
260;9;20230217;109
260;10;20230217;111
260;11;20230217;112
260;12;20230217;109
260;13;20230217;111
260;14;20230217;116
260;15;20230217;118
260;16;20230217;116
260;17;20230217;111
260;18;20230217;109
260;19;20230217;108
260;20;20230217;106
260;21;20230217;105
260;22;20230217;100
260;23;20230217;95
260;24;20230217;98
260;1;20230218;90
260;2;20230218;87
260;3;20230218;92
260;4;20230218;97
260;5;20230218;98
260;6;20230218;99
260;7;20230218;99
260;8;20230218;99
260;9;20230218;97
260;10;20230218;104
260;11;20230218;107
260;12;20230218;111
260;13;20230218;118
260;14;20230218;120
260;15;20230218;122
260;16;20230218;113
260;17;20230218;108
260;18;20230218;104
260;19;20230218;100
260;20;20230218;100
260;21;20230218;97
260;22;20230218;99
260;23;20230218;101
260;24;20230218;98
260;1;20230219;99
260;2;20230219;98
260;3;20230219;96
260;4;20230219;93
260;5;20230219;94
260;6;20230219;94
260;7;20230219;89
260;8;20230219;86
260;9;20230219;88
260;10;20230219;92
260;11;20230219;90
260;12;20230219;80
260;13;20230219;79
260;14;20230219;69
260;15;20230219;71
260;16;20230219;67
260;17;20230219;70
260;18;20230219;68
260;19;20230219;62
260;20;20230219;56
260;21;20230219;53
260;22;20230219;54
260;23;20230219;54
260;24;20230219;63
260;1;20230220;63
260;2;20230220;63
260;3;20230220;68
260;4;20230220;72
260;5;20230220;75
260;6;20230220;78
260;7;20230220;78
260;8;20230220;80
260;9;20230220;83
260;10;20230220;87
260;11;20230220;89
260;12;20230220;90
260;13;20230220;91
260;14;20230220;91
260;15;20230220;88
260;16;20230220;89
260;17;20230220;88
260;18;20230220;85
260;19;20230220;82
260;20;20230220;82
260;21;20230220;83
260;22;20230220;82
260;23;20230220;82
260;24;20230220;82
260;1;20230221;81
260;2;20230221;82
260;3;20230221;81
260;4;20230221;82
260;5;20230221;80
260;6;20230221;80
260;7;20230221;80
260;8;20230221;82
260;9;20230221;81
260;10;20230221;83
260;11;20230221;86
260;12;20230221;85
260;13;20230221;85
260;14;20230221;87
260;15;20230221;84
260;16;20230221;82
260;17;20230221;78
260;18;20230221;75
260;19;20230221;73
260;20;20230221;74
260;21;20230221;73
260;22;20230221;70
260;23;20230221;66
260;24;20230221;60
260;1;20230222;59
260;2;20230222;57
260;3;20230222;51
260;4;20230222;48
260;5;20230222;44
260;6;20230222;44
260;7;20230222;45
260;8;20230222;46
260;9;20230222;52
260;10;20230222;64
260;11;20230222;74
260;12;20230222;82
260;13;20230222;91
260;14;20230222;93
260;15;20230222;94
260;16;20230222;92
260;17;20230222;89
260;18;20230222;88
260;19;20230222;83
260;20;20230222;81
260;21;20230222;79
260;22;20230222;77
260;23;20230222;75
260;24;20230222;74
260;1;20230223;72
260;2;20230223;71
260;3;20230223;72
260;4;20230223;69
260;5;20230223;72
260;6;20230223;71
260;7;20230223;69
260;8;20230223;73
260;9;20230223;76
260;10;20230223;81
260;11;20230223;86
260;12;20230223;80
260;13;20230223;87
260;14;20230223;89
260;15;20230223;85
260;16;20230223;69
260;17;20230223;66
260;18;20230223;62
260;19;20230223;60
260;20;20230223;54
260;21;20230223;42
260;22;20230223;27
260;23;20230223;14
260;24;20230223;-1
260;1;20230224;-10
260;2;20230224;-14
260;3;20230224;3
260;4;20230224;11
260;5;20230224;27
260;6;20230224;33
260;7;20230224;39
260;8;20230224;43
260;9;20230224;46
260;10;20230224;49
260;11;20230224;55
260;12;20230224;66
260;13;20230224;77
260;14;20230224;79
260;15;20230224;75
260;16;20230224;71
260;17;20230224;60
260;18;20230224;56
260;19;20230224;53
260;20;20230224;51
260;21;20230224;50
260;22;20230224;40
260;23;20230224;44
260;24;20230224;49
260;1;20230225;40
260;2;20230225;42
260;3;20230225;42
260;4;20230225;41
260;5;20230225;45
260;6;20230225;38
260;7;20230225;36
260;8;20230225;45
260;9;20230225;47
260;10;20230225;29
260;11;20230225;59
260;12;20230225;66
260;13;20230225;66
260;14;20230225;65
260;15;20230225;67
260;16;20230225;57
260;17;20230225;48
260;18;20230225;35
260;19;20230225;21
