# STN;YYYYMMDD;HH;T
260;20180112;14;59
260;20180112;15;58
260;20180112;16;56
260;20180112;17;52
260;20180112;18;47
260;20180112;19;47
260;20180112;20;51
260;20180112;21;48
260;20180112;22;45
260;20180112;23;43
260;20180112;24;42
260;20180113;1;40
260;20180113;2;40
260;20180113;3;39
260;20180113;4;37
260;20180113;5;35
260;20180113;6;35
260;20180113;7;38
260;20180113;8;39
260;20180113;9;43
260;20180113;10;46
260;20180113;11;52
260;20180113;12;58
260;20180113;13;61
260;20180113;14;60
260;20180113;15;58
260;20180113;16;53
260;20180113;17;52
260;20180113;18;53
260;20180113;19;41
260;20180113;20;25
260;20180113;21;20
260;20180113;22;25
260;20180113;23;33
260;20180113;24;28
260;20180114;1;30
260;20180114;2;33
260;20180114;3;34
260;20180114;4;33
260;20180114;5;30
260;20180114;6;28
260;20180114;7;26
260;20180114;8;25
260;20180114;9;26
260;20180114;10;31
260;20180114;11;40
260;20180114;12;49
260;20180114;13;48
260;20180114;14;48
260;20180114;15;43
260;20180114;16;32
260;20180114;17;28
260;20180114;18;22
260;20180114;19;21
260;20180114;20;19
260;20180114;21;12
260;20180114;22;12
260;20180114;23;11
260;20180114;24;18
260;20180115;1;25
260;20180115;2;26
260;20180115;3;26
260;20180115;4;30
260;20180115;5;36
260;20180115;6;39
260;20180115;7;40
260;20180115;8;35
260;20180115;9;38
260;20180115;10;50
260;20180115;11;59
260;20180115;12;62
260;20180115;13;59
260;20180115;14;60
260;20180115;15;61
260;20180115;16;60
260;20180115;17;59
260;20180115;18;58
260;20180115;19;67
260;20180115;20;77
260;20180115;21;75
260;20180115;22;71
260;20180115;23;64
260;20180115;24;65
260;20180116;1;66
260;20180116;2;55
260;20180116;3;59
260;20180116;4;64
260;20180116;5;67
260;20180116;6;66
260;20180116;7;59
260;20180116;8;39
260;20180116;9;44
260;20180116;10;52
260;20180116;11;60
260;20180116;12;65
260;20180116;13;60
260;20180116;14;65
260;20180116;15;58
260;20180116;16;57
260;20180116;17;49
260;20180116;18;43
260;20180116;19;39
260;20180116;20;41
260;20180116;21;44
260;20180116;22;40
260;20180116;23;25
260;20180116;24;31
260;20180117;1;29
260;20180117;2;32
260;20180117;3;35
260;20180117;4;34
260;20180117;5;29
260;20180117;6;30
260;20180117;7;30
260;20180117;8;34
260;20180117;9;32
260;20180117;10;42
260;20180117;11;51
260;20180117;12;55
260;20180117;13;53
260;20180117;14;51
260;20180117;15;59
260;20180117;16;56
260;20180117;17;55
260;20180117;18;57
260;20180117;19;58
260;20180117;20;57
260;20180117;21;59
260;20180117;22;55
260;20180117;23;52
260;20180117;24;47
260;20180118;1;47
260;20180118;2;42
260;20180118;3;35
260;20180118;4;31
260;20180118;5;43
260;20180118;6;84
260;20180118;7;100
260;20180118;8;99
260;20180118;9;63
260;20180118;10;56
260;20180118;11;59
260;20180118;12;50
260;20180118;13;52
260;20180118;14;50
260;20180118;15;47
260;20180118;16;47
260;20180118;17;45
260;20180118;18;38
260;20180118;19;20
260;20180118;20;17
260;20180118;21;27
260;20180118;22;30
260;20180118;23;32
260;20180118;24;25
260;20180119;1;28
260;20180119;2;32
260;20180119;3;34
260;20180119;4;28
260;20180119;5;27
260;20180119;6;25
260;20180119;7;38
260;20180119;8;37
260;20180119;9;39
260;20180119;10;50
260;20180119;11;54
260;20180119;12;67
260;20180119;13;58
260;20180119;14;59
260;20180119;15;46
260;20180119;16;43
260;20180119;17;38
260;20180119;18;32
260;20180119;19;30
260;20180119;20;29
260;20180119;21;15
260;20180119;22;27
260;20180119;23;22
260;20180119;24;24
260;20180120;1;17
260;20180120;2;22
260;20180120;3;19
260;20180120;4;17
260;20180120;5;13
260;20180120;6;13
260;20180120;7;9
260;20180120;8;12
260;20180120;9;12
260;20180120;10;19
260;20180120;11;27
260;20180120;12;32
260;20180120;13;35
260;20180120;14;36
